,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent,Population1,"Total
Offenses",Crime Rate
110,Conroe,71630,11.2,12.4,9.9,20.8,13.8,9.2,9.2,22.1,4.946616483600891,56.1,43.9,1255,98623,6056,14.854547113756425
111,Converse,77237,14.3,15.3,9.3,23.5,9.8,12.0,12.0,17.6,5.143493409001113,74.9,25.1,1403,29503,1392,9.253296274955089
112,Coppell,143817,2.1,3.2,2.3,3.5,4.1,4.5,4.5,2.9,0.8646279979267776,70.5,29.5,1743,42021,1061,3.9266081245091735
113,Copperas Cove,64798,8.8,9.7,8.9,23.4,13.4,7.6,7.6,24.0,3.5539079050061324,56.2,43.8,962,37841,2744,23.0702148463307
114,Corinth,116083,4.9,4.7,4.4,12.4,4.4,5.3,5.3,0.0,2.4865441928739824,76.2,23.8,1676,22719,623,5.722082838153088
115,Corpus Christi,64449,15.5,19.0,13.8,26.4,16.4,12.3,12.3,34.0,7.699002369171756,57.3,42.7,1178,317694,29190,28.0867753246835
116,Corrigan,42212,19.6,32.2,24.3,22.3,26.2,28.3,28.3,46.1,9.062661833247022,43.5,56.5,691,1487,80,9.41492938802959
117,Corsicana,49353,16.4,19.0,14.6,13.0,21.9,14.9,14.9,29.8,6.27379572918391,54.3,45.7,966,25585,1461,15.438733632988079
118,Crandall,101829,6.7,9.1,6.6,22.4,12.7,2.2,2.2,5.8,4.692154915590864,88.4,11.6,1152,4671,535,30.828516377649326
119,Crane,73977,4.0,3.2,5.8,5.1,3.5,7.9,7.9,51.4,2.5753585016095992,79.8,20.2,913,3485,68,4.30416068866571
120,Crockett,37500,25.2,29.0,21.2,29.2,31.1,11.6,11.6,29.0,11.19787340089716,46.5,53.5,742,6428,615,13.378967019290604
121,Crowley,88333,5.9,6.7,5.4,10.1,10.5,3.1,3.1,18.0,2.5583800555222904,72.5,27.5,1599,20362,824,8.103329731853453
122,Cuero,53386,18.7,25.9,22.4,42.4,26.7,12.4,12.4,8.3,5.788235294117647,55.1,44.9,940,8271,433,15.113045580945473
123,Cuney,26406,12.3,49.1,20.5,12.5,46.8,0.0,0.0,0.0,4.294478527607362,89.5,10.5,-,115,6,17.391304347826086
124,Daingerfield,40573,23.8,32.3,18.9,11.7,29.8,17.4,17.4,82.4,6.625258799171843,66.5,33.5,718,2520,113,8.730158730158731
