,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Population,Population_Below_Poverty,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent
1001,Seabrook ,96223,5.6,7.2,6.5,16.2,14.8,6.9,6.9,21.5,13558,484,3.5698480601858678,59.1,40.9,1482
1002,Seadrift ,46701,10.7,5.7,14.0,43.4,0.0,0.0,0.0,0.0,1577,0,0.0,77.4,22.6,1355
1003,Seagoville ,65300,12.8,15.5,10.5,15.0,7.6,13.3,13.3,17.1,16683,1329,7.966193130731883,76.4,23.6,1193
1004,Seagraves ,49049,9.1,21.9,13.1,24.5,11.4,6.1,6.1,0.0,2772,136,4.9062049062049065,64.8,35.2,676
1005,Sealy ,60313,15.9,22.4,15.1,26.0,14.1,18.2,18.2,8.7,6760,317,4.689349112426036,73.4,26.6,1117
1006,Seguin ,58165,15.8,19.7,14.6,24.8,15.0,10.1,10.1,37.7,28723,2062,7.17891585140828,64.2,35.8,1062
1007,Selma ,95692,9.6,7.2,6.0,11.3,9.0,7.2,7.2,10.5,11021,506,4.591234915161964,55.9,44.1,1739
1008,Seminole ,73074,7.2,9.4,7.6,16.0,5.9,9.0,9.0,86.3,6890,257,3.730043541364296,71.6,28.4,878
1009,Seven Oaks ,55991,3.7,21.7,6.3,0.0,33.3,1.0,1.0,0.0,141,0,0.0,38.3,61.7,-
1010,Seven Points ,41599,16.0,13.3,14.0,18.5,13.1,15.3,15.3,51.9,1409,89,6.31653655074521,72.7,27.3,738
1011,Seymour ,53077,11.1,15.7,14.2,43.3,10.8,14.4,14.4,0.0,2707,97,3.5833025489471737,68.7,31.3,498
1012,Shady Shores ,149333,5.3,5.9,6.4,3.7,7.2,11.8,11.8,0.0,2811,71,2.525791533262184,96.1,3.9,1120
1013,Shallowater ,71572,6.7,6.7,7.4,18.5,9.9,8.6,8.6,42.3,2922,135,4.620123203285421,83.9,16.1,1028
1014,Shamrock ,39333,20.4,33.9,24.0,55.0,25.6,9.3,9.3,18.4,1999,102,5.102551275637819,72.2,27.8,872
1015,Shavano Park ,187750,3.1,3.8,4.5,0.0,3.9,5.1,5.1,0.0,3544,52,1.4672686230248306,96.6,3.4,-
1016,Shenandoah ,-,11.9,8.9,11.2,0.0,61.5,0.0,0.0,37.5,3466,356,10.271206001154068,58.2,41.8,1253
1017,Shepherd ,47094,11.1,20.1,15.2,31.6,15.1,10.8,10.8,7.8,2248,148,6.583629893238434,64.0,36.0,667
1018,Sherman ,58020,11.3,14.2,10.5,18.2,11.7,9.6,9.6,26.0,42279,2029,4.799072825752738,52.2,47.8,1109
1019,Shiner ,90119,4.4,7.2,3.5,21.6,4.6,3.3,3.3,0.0,2023,45,2.2244191794364805,80.7,19.3,1172
1020,Shoreacres ,147721,1.8,3.2,2.6,0.0,2.7,4.6,4.6,15.0,1323,6,0.45351473922902497,97.0,3.0,1750
1021,Silsbee ,58641,9.9,13.7,11.9,30.7,13.8,5.0,5.0,0.0,6608,243,3.677360774818402,69.8,30.2,940
1022,Silverton ,34850,23.5,10.3,23.2,7.9,46.1,10.7,10.7,0.0,649,39,6.00924499229584,69.4,30.6,1083
1023,Simonton ,127857,18.9,11.0,8.6,57.6,12.3,4.4,4.4,0.0,856,75,8.761682242990654,87.1,12.9,-
1024,Sinton ,46411,34.5,34.8,25.8,49.4,24.5,6.3,6.3,8.8,5221,837,16.031411606971844,66.0,34.0,537
1025,Skellytown ,42778,20.0,23.8,14.3,32.6,11.4,13.3,13.3,0.0,403,14,3.4739454094292808,88.1,11.9,844
